"group","LAD13CD","amount","year"
"Tobacco","E06000003",2.073749055,2010
"Vegtables","E06000003",3.199378537,2010
"Alcohol at home","E06000004",3.224992857,2010
"Alcohol away from home","E06000004",3.022408379,2010
"Bread","E06000004",1.889698789,2010
"Butter","E06000004",0.164372517,2010
"Cakes puddings and pastry","E06000004",0.909034701,2010
"Coffee","E06000004",0.265811437,2010
"Eating out","E06000004",8.280826186,2010
"Eggs","E06000004",0.278883507,2010
"Fish","E06000004",0.976804646,2010
"Fruit","E06000004",1.724282595,2010
"Milk products","E06000004",2.731129947,2010
"Non alcoholic drinks","E06000004",1.331144744,2010
"Oils and fats","E06000004",0.345772859,2010
"Other","E06000004",1.233110726,2010
"Pasta","E06000004",0.181210416,2010
"Poultry","E06000004",0.835133046,2010
"Processed and Other Meat","E06000004",0.006533462,2010
"Processed Meat","E06000004",2.846453478,2010
"Red Meat","E06000004",1.280375878,2010
"Rice","E06000004",0.133579786,2010
"Sauces and spices","E06000004",0.083029146,2010
"Sugar confectionary and jam","E06000004",1.525804642,2010
"Takeaway","E06000004",1.674823494,2010
"Tea","E06000004",0.205999315,2010
"Tobacco","E06000004",1.946925131,2010
"Vegtables","E06000004",3.14841956,2010
"Alcohol at home","E06000005",3.23067098,2010
"Alcohol away from home","E06000005",2.98156498,2010
"Bread","E06000005",1.891184774,2010
"Butter","E06000005",0.167329063,2010
"Cakes puddings and pastry","E06000005",0.907377193,2010
"Coffee","E06000005",0.271330799,2010
"Eating out","E06000005",8.220659372,2010
"Eggs","E06000005",0.281547208,2010
"Fish","E06000005",1.000878624,2010
"Fruit","E06000005",1.742867901,2010
"Milk products","E06000005",2.730557117,2010
"Non alcoholic drinks","E06000005",1.313255965,2010
"Oils and fats","E06000005",0.348614859,2010
"Other","E06000005",1.223290917,2010
"Pasta","E06000005",0.178816873,2010
"Poultry","E06000005",0.839261785,2010
"Processed and Other Meat","E06000005",0.006138055,2010
"Processed Meat","E06000005",2.851323164,2010
"Red Meat","E06000005",1.303555487,2010
"Rice","E06000005",0.133693174,2010
"Sauces and spices","E06000005",0.084920392,2010
"Sugar confectionary and jam","E06000005",1.524973967,2010
"Takeaway","E06000005",1.655596031,2010
"Tea","E06000005",0.209316771,2010
"Tobacco","E06000005",1.948808673,2010
"Vegtables","E06000005",3.160384616,2010
"Alcohol at home","E06000006",3.249869823,2010
"Alcohol away from home","E06000006",3.015306961,2010
"Bread","E06000006",1.897342212,2010
"Butter","E06000006",0.164435922,2010
"Cakes puddings and pastry","E06000006",0.908084942,2010
"Coffee","E06000006",0.271719533,2010
"Eating out","E06000006",8.100695868,2010
"Eggs","E06000006",0.278023529,2010
"Fish","E06000006",0.969910815,2010
"Fruit","E06000006",1.692863888,2010
"Milk products","E06000006",2.7389496,2010
"Non alcoholic drinks","E06000006",1.328595958,2010
"Oils and fats","E06000006",0.344717649,2010
"Other","E06000006",1.224626334,2010
"Pasta","E06000006",0.180292977,2010
"Poultry","E06000006",0.83193966,2010
"Processed and Other Meat","E06000006",0.006113371,2010
"Processed Meat","E06000006",2.886395748,2010
"Red Meat","E06000006",1.280878464,2010
"Rice","E06000006",0.123693233,2010
"Sauces and spices","E06000006",0.080160545,2010
"Sugar confectionary and jam","E06000006",1.524388718,2010
"Takeaway","E06000006",1.668528999,2010
"Tea","E06000006",0.206543279,2010
"Tobacco","E06000006",2.054964847,2010
"Vegtables","E06000006",3.134807297,2010
"Alcohol at home","E06000007",3.377161749,2010
"Alcohol away from home","E06000007",3.23142378,2010
"Bread","E06000007",1.900278681,2010
"Butter","E06000007",0.166413314,2010
"Cakes puddings and pastry","E06000007",0.915636233,2010
"Coffee","E06000007",0.272218601,2010
"Eating out","E06000007",8.823801316,2010
"Eggs","E06000007",0.281306973,2010
"Fish","E06000007",1.012033729,2010
"Fruit","E06000007",1.777819493,2010
"Milk products","E06000007",2.747322587,2010
"Non alcoholic drinks","E06000007",1.340233864,2010
"Oils and fats","E06000007",0.344018076,2010
"Other","E06000007",1.240074838,2010
"Pasta","E06000007",0.182841586,2010
"Poultry","E06000007",0.841608006,2010
"Processed and Other Meat","E06000007",0.007278096,2010
"Processed Meat","E06000007",2.850719338,2010
"Red Meat","E06000007",1.29894671,2010
"Rice","E06000007",0.13400878,2010
"Sauces and spices","E06000007",0.085217139,2010
"Sugar confectionary and jam","E06000007",1.541458776,2010
"Takeaway","E06000007",1.715513148,2010
"Tea","E06000007",0.20923663,2010
"Tobacco","E06000007",1.879308625,2010
"Vegtables","E06000007",3.219148528,2010
"Alcohol at home","E06000008",2.554924194,2010
"Alcohol away from home","E06000008",2.361857589,2010
"Bread","E06000008",1.669548651,2010
"Butter","E06000008",0.138297301,2010
"Cakes puddings and pastry","E06000008",0.782387658,2010
"Coffee","E06000008",0.227319073,2010
"Eating out","E06000008",7.312985178,2010
"Eggs","E06000008",0.256306493,2010
"Fish","E06000008",0.870911003,2010
"Fruit","E06000008",1.623734425,2010
"Milk products","E06000008",2.435607079,2010
"Non alcoholic drinks","E06000008",1.250276094,2010
"Oils and fats","E06000008",0.336729848,2010
"Other","E06000008",1.109130205,2010
"Pasta","E06000008",0.170375757,2010
"Poultry","E06000008",0.802741705,2010
"Processed and Other Meat","E06000008",0.013636682,2010
"Processed Meat","E06000008",2.314936011,2010
"Red Meat","E06000008",1.168336505,2010
"Rice","E06000008",0.19115782,2010
"Sauces and spices","E06000008",0.093690198,2010
"Sugar confectionary and jam","E06000008",1.351217321,2010
"Takeaway","E06000008",1.617802335,2010
"Tea","E06000008",0.181289121,2010
"Tobacco","E06000008",1.724609786,2010
"Vegtables","E06000008",2.87065914,2010
"Alcohol at home","E06000009",3.162052828,2010
"Alcohol away from home","E06000009",2.883720749,2010
"Bread","E06000009",1.917577533,2010
"Butter","E06000009",0.170155816,2010
"Cakes puddings and pastry","E06000009",0.917906854,2010
"Coffee","E06000009",0.277529991,2010
"Eating out","E06000009",7.738508507,2010
"Eggs","E06000009",0.28259394,2010
"Fish","E06000009",0.987334105,2010
"Fruit","E06000009",1.712285891,2010
"Milk products","E06000009",2.766526613,2010
"Non alcoholic drinks","E06000009",1.311477771,2010
"Oils and fats","E06000009",0.355171259,2010
"Other","E06000009",1.222277769,2010
"Pasta","E06000009",0.174744331,2010
"Poultry","E06000009",0.83402558,2010
"Processed and Other Meat","E06000009",0.005772636,2010
"Processed Meat","E06000009",2.92393334,2010
"Red Meat","E06000009",1.311143573,2010
"Rice","E06000009",0.127008711,2010
"Sauces and spices","E06000009",0.082506632,2010
"Sugar confectionary and jam","E06000009",1.533383902,2010
"Takeaway","E06000009",1.633844958,2010
"Tea","E06000009",0.213195514,2010
"Tobacco","E06000009",2.121202378,2010
"Vegtables","E06000009",3.122021877,2010
"Alcohol at home","E06000010",2.951968912,2010
"Alcohol away from home","E06000010",2.882365062,2010
"Bread","E06000010",1.769238925,2010
"Butter","E06000010",0.149684409,2010
"Cakes puddings and pastry","E06000010",0.846958376,2010
"Coffee","E06000010",0.245649531,2010
"Eating out","E06000010",7.597886226,2010
"Eggs","E06000010",0.257462744,2010
"Fish","E06000010",0.881109407,2010
"Fruit","E06000010",1.54166534,2010
"Milk products","E06000010",2.537775647,2010
"Non alcoholic drinks","E06000010",1.261158664,2010
"Oils and fats","E06000010",0.324835301,2010
"Other","E06000010",1.141821702,2010
"Pasta","E06000010",0.171523192,2010
"Poultry","E06000010",0.776137556,2010
"Processed and Other Meat","E06000010",0.005431826,2010
"Processed Meat","E06000010",2.66880943,2010
"Red Meat","E06000010",1.166242974,2010
"Rice","E06000010",0.123491938,2010
"Sauces and spices","E06000010",0.076532645,2010
"Sugar confectionary and jam","E06000010",1.420469529,2010
"Takeaway","E06000010",1.648478639,2010
"Tea","E06000010",0.189623224,2010
"Tobacco","E06000010",2.068514831,2010
"Vegtables","E06000010",2.880046059,2010
"Alcohol at home","E06000011",3.501017706,2010
"Alcohol away from home","E06000011",3.135020924,2010
"Bread","E06000011",1.970995178,2010
"Butter","E06000011",0.183256668,2010
"Cakes puddings and pastry","E06000011",0.9439393,2010
"Coffee","E06000011",0.29292497,2010
"Eating out","E06000011",8.693947757,2010
"Eggs","E06000011",0.297272789,2010
"Fish","E06000011",1.090311526,2010
"Fruit","E06000011",1.88379545,2010
"Milk products","E06000011",2.852402974,2010
"Non alcoholic drinks","E06000011",1.329519345,2010
"Oils and fats","E06000011",0.364161244,2010
"Other","E06000011",1.264285833,2010
"Pasta","E06000011",0.175844075,2010
"Poultry","E06000011",0.867170865,2010
"Processed and Other Meat","E06000011",0.007127575,2010
"Processed Meat","E06000011",2.991212809,2010
"Red Meat","E06000011",1.410015098,2010
"Rice","E06000011",0.1289767,2010
"Sauces and spices","E06000011",0.08767965,2010
"Sugar confectionary and jam","E06000011",1.585454123,2010
"Takeaway","E06000011",1.596167959,2010
"Tea","E06000011",0.225604055,2010
"Tobacco","E06000011",1.854703691,2010
"Vegtables","E06000011",3.322584765,2010
"Alcohol at home","E06000012",3.165087669,2010
"Alcohol away from home","E06000012",2.917683071,2010
"Bread","E06000012",1.86296004,2010
"Butter","E06000012",0.164815995,2010
"Cakes puddings and pastry","E06000012",0.892592451,2010
"Coffee","E06000012",0.266283216,2010
"Eating out","E06000012",7.884717157,2010
"Eggs","E06000012",0.275164738,2010
"Fish","E06000012",0.966474441,2010
"Fruit","E06000012",1.679902176,2010
"Milk products","E06000012",2.677683954,2010
"Non alcoholic drinks","E06000012",1.286106744,2010
"Oils and fats","E06000012",0.343573424,2010
"Other","E06000012",1.196875636,2010
"Pasta","E06000012",0.172677205,2010
"Poultry","E06000012",0.818334532,2010
"Processed and Other Meat","E06000012",0.006066623,2010
"Processed Meat","E06000012",2.831168669,2010
"Red Meat","E06000012",1.276528813,2010
"Rice","E06000012",0.124358526,2010
"Sauces and spices","E06000012",0.079543953,2010
"Sugar confectionary and jam","E06000012",1.495774199,2010
"Takeaway","E06000012",1.617103067,2010
"Tea","E06000012",0.20513766,2010
"Tobacco","E06000012",1.991910323,2010
"Vegtables","E06000012",3.068676586,2010
"Alcohol at home","E06000013",3.280913537,2010
"Alcohol away from home","E06000013",3.02857595,2010
"Bread","E06000013",1.89311973,2010
"Butter","E06000013",0.168626443,2010
"Cakes puddings and pastry","E06000013",0.905481616,2010
"Coffee","E06000013",0.273313215,2010
"Eating out","E06000013",8.242038079,2010
"Eggs","E06000013",0.281950312,2010
"Fish","E06000013",1.005743804,2010
"Fruit","E06000013",1.748318331,2010
"Milk products","E06000013",2.731939703,2010
"Non alcoholic drinks","E06000013",1.305097044,2010
"Oils and fats","E06000013",0.348935359,2010
"Other","E06000013",1.221758861,2010
"Pasta","E06000013",0.175535717,2010
"Poultry","E06000013",0.833219648,2010
"Processed and Other Meat","E06000013",0.006773117,2010
"Processed Meat","E06000013",2.85855624,2010
"Red Meat","E06000013",1.313833681,2010
"Rice","E06000013",0.129408915,2010
"Sauces and spices","E06000013",0.083720789,2010
"Sugar confectionary and jam","E06000013",1.520584762,2010
"Takeaway","E06000013",1.624166246,2010
"Tea","E06000013",0.210439934,2010
"Tobacco","E06000013",1.932565729,2010
"Vegtables","E06000013",3.163592024,2010
"Alcohol at home","E06000014",3.220325828,2010
"Alcohol away from home","E06000014",3.26350911,2010
"Bread","E06000014",1.84594958,2010
"Butter","E06000014",0.164531689,2010
"Cakes puddings and pastry","E06000014",0.893646045,2010
"Coffee","E06000014",0.264137359,2010
"Eating out","E06000014",8.52084744,2010
"Eggs","E06000014",0.275873546,2010
"Fish","E06000014",0.982931066,2010
"Fruit","E06000014",1.713612748,2010
"Milk products","E06000014",2.665683779,2010
"Non alcoholic drinks","E06000014",1.290628962,2010
"Oils and fats","E06000014",0.336750238,2010
"Other","E06000014",1.199396561,2010
"Pasta","E06000014",0.173921246,2010
"Poultry","E06000014",0.808299929,2010
"Processed and Other Meat","E06000014",0.006365743,2010
"Processed Meat","E06000014",2.786354929,2010
"Red Meat","E06000014",1.258647487,2010
"Rice","E06000014",0.126248621,2010
"Sauces and spices","E06000014",0.082005186,2010
"Sugar confectionary and jam","E06000014",1.499203874,2010
"Takeaway","E06000014",1.685859227,2010
"Tea","E06000014",0.206430456,2010
"Tobacco","E06000014",1.938212143,2010
"Vegtables","E06000014",3.09771722,2010
"Alcohol at home","E06000015",2.908800702,2010
"Alcohol away from home","E06000015",2.839679914,2010
"Bread","E06000015",1.759918543,2010
"Butter","E06000015",0.150247616,2010
"Cakes puddings and pastry","E06000015",0.845173062,2010
"Coffee","E06000015",0.242761757,2010
"Eating out","E06000015",8.246613901,2010
"Eggs","E06000015",0.268481588,2010
"Fish","E06000015",0.935869565,2010
"Fruit","E06000015",1.692145672,2010
"Milk products","E06000015",2.554837575,2010
"Non alcoholic drinks","E06000015",1.287377266,2010
"Oils and fats","E06000015",0.342234667,2010
"Other","E06000015",1.171525144,2010
"Pasta","E06000015",0.178297639,2010
"Poultry","E06000015",0.811252933,2010
"Processed and Other Meat","E06000015",0.008488016,2010
"Processed Meat","E06000015",2.531468619,2010
"Red Meat","E06000015",1.216616023,2010
"Rice","E06000015",0.171496938,2010
"Sauces and spices","E06000015",0.091246162,2010
"Sugar confectionary and jam","E06000015",1.435633679,2010
"Takeaway","E06000015",1.705031697,2010
"Tea","E06000015",0.194681997,2010
"Tobacco","E06000015",1.785468583,2010
"Vegtables","E06000015",3.023912897,2010
"Alcohol at home","E06000016",2.11099738,2010
"Alcohol away from home","E06000016",2.005690695,2010
"Bread","E06000016",1.520648037,2010
"Butter","E06000016",0.124560144,2010
"Cakes puddings and pastry","E06000016",0.705679047,2010
"Coffee","E06000016",0.204529696,2010
"Eating out","E06000016",7.289467283,2010
"Eggs","E06000016",0.251631007,2010
"Fish","E06000016",0.822371887,2010
"Fruit","E06000016",1.613344549,2010
"Milk products","E06000016",2.229122195,2010
"Non alcoholic drinks","E06000016",1.211745802,2010
"Oils and fats","E06000016",0.347589855,2010
"Other","E06000016",1.041266845,2010
"Pasta","E06000016",0.174350479,2010
"Poultry","E06000016",0.812618521,2010
"Processed and Other Meat","E06000016",0.012473302,2010
"Processed Meat","E06000016",1.904696601,2010
"Red Meat","E06000016",1.132939258,2010
"Rice","E06000016",0.271993466,2010
"Sauces and spices","E06000016",0.106207898,2010
"Sugar confectionary and jam","E06000016",1.245972105,2010
"Takeaway","E06000016",1.751324099,2010
"Tea","E06000016",0.167250296,2010
"Tobacco","E06000016",1.486148023,2010
"Vegtables","E06000016",2.782478974,2010
"Alcohol at home","E06000017",3.575021075,2010
"Alcohol away from home","E06000017",3.269441771,2010
"Bread","E06000017",2.017626781,2010
"Butter","E06000017",0.187317385,2010
"Cakes puddings and pastry","E06000017",0.970294185,2010
"Coffee","E06000017",0.30300765,2010
"Eating out","E06000017",8.951374868,2010
"Eggs","E06000017",0.302747274,2010
"Fish","E06000017",1.125978435,2010
"Fruit","E06000017",1.943891441,2010
"Milk products","E06000017",2.926392988,2010
"Non alcoholic drinks","E06000017",1.361999985,2010
"Oils and fats","E06000017",0.371381199,2010
"Other","E06000017",1.276343914,2010
"Pasta","E06000017",0.178687982,2010
"Poultry","E06000017",0.878280603,2010
"Processed and Other Meat","E06000017",0.007714146,2010
"Processed Meat","E06000017",3.067623049,2010
"Red Meat","E06000017",1.447066084,2010
"Rice","E06000017",0.132502299,2010
"Sauces and spices","E06000017",0.087949552,2010
"Sugar confectionary and jam","E06000017",1.628674001,2010
"Takeaway","E06000017",1.681655187,2010
"Tea","E06000017",0.229389778,2010
"Tobacco","E06000017",1.955379862,2010
"Vegtables","E06000017",3.406301263,2010
"Alcohol at home","E06000018",2.476369151,2010
"Alcohol away from home","E06000018",2.586471044,2010
"Bread","E06000018",1.595957759,2010
"Butter","E06000018",0.128624271,2010
"Cakes puddings and pastry","E06000018",0.756074489,2010
"Coffee","E06000018",0.218809877,2010
"Eating out","E06000018",7.508871691,2010
"Eggs","E06000018",0.244209776,2010
"Fish","E06000018",0.834529305,2010
"Fruit","E06000018",1.503161361,2010
"Milk products","E06000018",2.28537851,2010
"Non alcoholic drinks","E06000018",1.218909246,2010
"Oils and fats","E06000018",0.320516078,2010
"Other","E06000018",1.049490811,2010
"Pasta","E06000018",0.165778613,2010
"Poultry","E06000018",0.753119462,2010
"Processed and Other Meat","E06000018",0.016155116,2010
"Processed Meat","E06000018",2.239155784,2010
"Red Meat","E06000018",1.083207672,2010
"Rice","E06000018",0.177579051,2010
"Sauces and spices","E06000018",0.089422113,2010
"Sugar confectionary and jam","E06000018",1.293394725,2010
"Takeaway","E06000018",1.702985994,2010
"Tea","E06000018",0.174442009,2010
"Tobacco","E06000018",1.836349351,2010
"Vegtables","E06000018",2.731582976,2010
"Alcohol at home","E06000019",3.448990439,2010
"Alcohol away from home","E06000019",3.135143762,2010
"Bread","E06000019",2.016555817,2010
"Butter","E06000019",0.185737563,2010
"Cakes puddings and pastry","E06000019",0.964091669,2010
"Coffee","E06000019",0.303325821,2010
"Eating out","E06000019",8.518475399,2010
"Eggs","E06000019",0.301637734,2010
"Fish","E06000019",1.091194376,2010
"Fruit","E06000019",1.887109817,2010
"Milk products","E06000019",2.930048265,2010
"Non alcoholic drinks","E06000019",1.35725241,2010
"Oils and fats","E06000019",0.371199982,2010
"Other","E06000019",1.290967909,2010
"Pasta","E06000019",0.178512033,2010
"Poultry","E06000019",0.881689898,2010
"Processed and Other Meat","E06000019",0.006271947,2010
"Processed Meat","E06000019",3.072255164,2010
"Red Meat","E06000019",1.432280961,2010
"Rice","E06000019",0.127805808,2010
"Sauces and spices","E06000019",0.087026547,2010
"Sugar confectionary and jam","E06000019",1.62294954,2010
"Takeaway","E06000019",1.658694782,2010
"Tea","E06000019",0.228475992,2010
"Tobacco","E06000019",2.049455953,2010
"Vegtables","E06000019",3.346451862,2010
"Alcohol at home","E06000020",3.170426763,2010
"Alcohol away from home","E06000020",2.993421579,2010
"Bread","E06000020",1.886707728,2010
"Butter","E06000020",0.161391148,2010
"Cakes puddings and pastry","E06000020",0.900076234,2010
"Coffee","E06000020",0.266743118,2010
"Eating out","E06000020",8.236322463,2010
"Eggs","E06000020",0.278656583,2010
"Fish","E06000020",0.967454266,2010
"Fruit","E06000020",1.715380612,2010
"Milk products","E06000020",2.720037401,2010
"Non alcoholic drinks","E06000020",1.339633769,2010
"Oils and fats","E06000020",0.348013514,2010
"Other","E06000020",1.225940395,2010
"Pasta","E06000020",0.18304878,2010
"Poultry","E06000020",0.843338457,2010
"Processed and Other Meat","E06000020",0.006770618,2010
"Processed Meat","E06000020",2.809607552,2010
"Red Meat","E06000020",1.282564708,2010
"Rice","E06000020",0.142566208,2010
"Sauces and spices","E06000020",0.08508687,2010
"Sugar confectionary and jam","E06000020",1.518671738,2010
"Takeaway","E06000020",1.708576872,2010
"Tea","E06000020",0.203394547,2010
"Tobacco","E06000020",1.995792727,2010
"Vegtables","E06000020",3.143411754,2010
"Alcohol at home","E06000021",3.033732569,2010
"Alcohol away from home","E06000021",2.916818012,2010
"Bread","E06000021",1.850041588,2010
"Butter","E06000021",0.158116645,2010
"Cakes puddings and pastry","E06000021",0.880164654,2010
"Coffee","E06000021",0.2629401,2010
"Eating out","E06000021",7.942548917,2010
"Eggs","E06000021",0.274854871,2010
"Fish","E06000021",0.954141014,2010
"Fruit","E06000021",1.68439132,2010
"Milk products","E06000021",2.681358408,2010
"Non alcoholic drinks","E06000021",1.318730203,2010
"Oils and fats","E06000021",0.348574018,2010
"Other","E06000021",1.199013876,2010
"Pasta","E06000021",0.178114824,2010
"Poultry","E06000021",0.82763032,2010
"Processed and Other Meat","E06000021",0.008776562,2010
"Processed Meat","E06000021",2.747745676,2010
"Red Meat","E06000021",1.26293111,2010
"Rice","E06000021",0.147843399,2010
"Sauces and spices","E06000021",0.086508676,2010
"Sugar confectionary and jam","E06000021",1.485180108,2010
"Takeaway","E06000021",1.716288842,2010
"Tea","E06000021",0.202517353,2010
"Tobacco","E06000021",2.082794685,2010
"Vegtables","E06000021",3.076526845,2010
"Alcohol at home","E06000022",3.318930363,2010
"Alcohol away from home","E06000022",3.302502472,2010
"Bread","E06000022",1.886120459,2010
"Butter","E06000022",0.170658554,2010
"Cakes puddings and pastry","E06000022",0.909970545,2010
"Coffee","E06000022",0.27620617,2010
"Eating out","E06000022",8.885185003,2010
"Eggs","E06000022",0.283462444,2010
"Fish","E06000022",1.033747009,2010
"Fruit","E06000022",1.794173242,2010
"Milk products","E06000022",2.731151803,2010
"Non alcoholic drinks","E06000022",1.311420372,2010
"Oils and fats","E06000022",0.345373356,2010
"Other","E06000022",1.222765796,2010
"Pasta","E06000022",0.175803376,2010
"Poultry","E06000022",0.828082507,2010
"Processed and Other Meat","E06000022",0.006539169,2010
"Processed Meat","E06000022",2.836264589,2010
"Red Meat","E06000022",1.310008188,2010
"Rice","E06000022",0.132684197,2010
"Sauces and spices","E06000022",0.08581035,2010
"Sugar confectionary and jam","E06000022",1.541014978,2010
"Takeaway","E06000022",1.70652087,2010
"Tea","E06000022",0.212541181,2010
"Tobacco","E06000022",1.897219989,2010
"Vegtables","E06000022",3.191303854,2010
"Alcohol at home","E06000023",3.099284377,2010
"Alcohol away from home","E06000023",3.429585664,2010
"Bread","E06000023",1.740481334,2010
"Butter","E06000023",0.147629431,2010
"Cakes puddings and pastry","E06000023",0.847549157,2010
"Coffee","E06000023",0.238279461,2010
"Eating out","E06000023",8.890647526,2010
"Eggs","E06000023",0.263360478,2010
"Fish","E06000023",0.923516015,2010
"Fruit","E06000023",1.62734901,2010
"Milk products","E06000023",2.510024306,2010
"Non alcoholic drinks","E06000023",1.286978675,2010
"Oils and fats","E06000023",0.318769753,2010
"Other","E06000023",1.152443047,2010
"Pasta","E06000023",0.177311461,2010
"Poultry","E06000023",0.785150845,2010
"Processed and Other Meat","E06000023",0.009753244,2010
"Processed Meat","E06000023",2.564718943,2010
"Red Meat","E06000023",1.159195537,2010
"Rice","E06000023",0.145921955,2010
"Sauces and spices","E06000023",0.083687624,2010
"Sugar confectionary and jam","E06000023",1.419329619,2010
"Takeaway","E06000023",1.805612967,2010
"Tea","E06000023",0.191518905,2010
"Tobacco","E06000023",1.899042201,2010
"Vegtables","E06000023",2.980602656,2010
"Alcohol at home","E06000024",3.576901485,2010
"Alcohol away from home","E06000024",3.267793814,2010
"Bread","E06000024",1.976801657,2010
"Butter","E06000024",0.182999105,2010
"Cakes puddings and pastry","E06000024",0.951325315,2010
"Coffee","E06000024",0.292461312,2010
"Eating out","E06000024",9.073231079,2010
"Eggs","E06000024",0.298733717,2010
"Fish","E06000024",1.106847329,2010
"Fruit","E06000024",1.909719132,2010
"Milk products","E06000024",2.875828759,2010
"Non alcoholic drinks","E06000024",1.348731679,2010
"Oils and fats","E06000024",0.361672396,2010
"Other","E06000024",1.278296757,2010
"Pasta","E06000024",0.179134091,2010
"Poultry","E06000024",0.867375251,2010
"Processed and Other Meat","E06000024",0.007654361,2010
"Processed Meat","E06000024",2.984049873,2010
"Red Meat","E06000024",1.404633666,2010
"Rice","E06000024",0.132002304,2010
"Sauces and spices","E06000024",0.08879674,2010
"Sugar confectionary and jam","E06000024",1.604571838,2010
"Takeaway","E06000024",1.676400057,2010
"Tea","E06000024",0.224696489,2010
"Tobacco","E06000024",1.841799185,2010
"Vegtables","E06000024",3.358232628,2010
"Alcohol at home","E06000025",3.39641956,2010
"Alcohol away from home","E06000025",3.292039901,2010
"Bread","E06000025",1.911348563,2010
"Butter","E06000025",0.16955489,2010
"Cakes puddings and pastry","E06000025",0.924575678,2010
"Coffee","E06000025",0.272981259,2010
"Eating out","E06000025",8.964041819,2010
"Eggs","E06000025",0.28543713,2010
"Fish","E06000025",1.022162197,2010
"Fruit","E06000025",1.802675945,2010
"Milk products","E06000025",2.763374732,2010
"Non alcoholic drinks","E06000025",1.346115821,2010
"Oils and fats","E06000025",0.345804783,2010
"Other","E06000025",1.244961166,2010
"Pasta","E06000025",0.183740157,2010
"Poultry","E06000025",0.850235464,2010
"Processed and Other Meat","E06000025",0.007567744,2010
"Processed Meat","E06000025",2.872418294,2010
"Red Meat","E06000025",1.317953765,2010
"Rice","E06000025",0.135941386,2010
"Sauces and spices","E06000025",0.084543327,2010
"Sugar confectionary and jam","E06000025",1.554808264,2010
"Takeaway","E06000025",1.726128473,2010
"Tea","E06000025",0.210457741,2010
"Tobacco","E06000025",1.8725695,2010
"Vegtables","E06000025",3.233675144,2010
"Alcohol at home","E06000026",3.197844499,2010
"Alcohol away from home","E06000026",3.27475901,2010
"Bread","E06000026",1.862208719,2010
